ID,Session,note_quality,food_present,no_intx_yes_no,Hyena,Time,Order,Behavior,Target,Distance,Leader Y/N?,Food,Notes
4954,t37838,2,TRUE,FALSE,mac,00-Jan-00,1,mob,lion,1,FALSE,,
4955,t37838,2,TRUE,FALSE,ath,00-Jan-00,1,mob,lion,1,FALSE,,
4956,t37838,2,TRUE,FALSE,ali,00-Jan-00,1,mob,lion,1,FALSE,,
4957,t37838,2,TRUE,FALSE,foz,00-Jan-00,1,mob,lion,1,FALSE,,
4958,t37838,2,TRUE,FALSE,bail,00-Jan-00,1,mob,lion,1,FALSE,,
4959,t37838,2,TRUE,FALSE,unid,00-Jan-00,1,mob,lion,1,FALSE,,
4960,t37838,2,TRUE,FALSE,foz,00-Jan-00,2,steals fd,,,FALSE,vertibrae,
4961,t37838,2,TRUE,FALSE,bca,00-Jan-00,3,steals fd,,,FALSE,unid,
4962,t37838,2,TRUE,FALSE,art,00-Jan-00,4,steals fd,,,FALSE,unid,clawed by lions 2x
4963,t37838,2,TRUE,FALSE,bacc,00-Jan-00,1,fd,,,FALSE,dom cattle carcass,cant see how much is left
4964,t37838,2,TRUE,FALSE,adon,00-Jan-00,2,fd,,,FALSE,dom cattle carcass,cant see how much is left
4965,t37838,2,TRUE,FALSE,mali,00-Jan-00,3,fd,,,FALSE,dom cattle carcass,cant see how much is left
4966,t37838,2,TRUE,FALSE,bail,00-Jan-00,4,fd,,,FALSE,dom cattle carcass,cant see how much is left
4967,t37838,2,TRUE,FALSE,zc,00-Jan-00,5,fd,,,FALSE,dom cattle carcass,cant see how much is left
4968,t37838,2,TRUE,FALSE,mln,00-Jan-00,6,fd,,,FALSE,dom cattle carcass,cant see how much is left
4969,t37838,2,TRUE,FALSE,nav,00-Jan-00,7,fd,,,FALSE,dom cattle carcass,cant see how much is left
4970,t37838,2,TRUE,FALSE,mrs,00-Jan-00,1,fd,,,FALSE,dom cattle carcass,
4971,t37838,2,TRUE,FALSE,yog,00-Jan-00,1,fd,,,FALSE,dom cattle carcass,
4972,t37838,2,TRUE,FALSE,mln,00-Jan-00,1,fd,,,FALSE,dom cattle carcass,incomplete scan
4973,t38490,2,TRUE,FALSE,bail,00-Jan-00,1,scan,,100,FALSE,,lion on fresh tommy kill
4974,t38490,2,TRUE,FALSE,mp,00-Jan-00,1,scan,,100,FALSE,,lion on fresh tommy kill
4975,t38490,2,TRUE,FALSE,ldv,00-Jan-00,1,scan,,50,FALSE,,lion on fresh tommy kill
